mms_id,alma_lang,language_reccomendation_marc_code,marc_lang,dlxs_tested_value
990028946050106381,['map: Austronesian (other)'],,,"['Cuyunon language -- Texts.', 'Catholic Church -- Prayer-books and devotions']"
990029150910106381,['map: Austronesian (other)'],ilo,Iloko,['Iloko fiction.']
990029533330106381,['map: Austronesian (other)'],,,['Jesus Christ.']
990029533250106381,['map: Austronesian (other)'],,,"['Sama Sibutu language -- Dictionaries', 'English language -- Glossaries, vocabularies, etc.']"
990029551470106381,['map: Austronesian (other)'],,,['Tiruray langunge -- Dictionaries']
990028006690106381,['map: Austronesian (other)'],btk,Batak,"['Short stories, Toba-Batak.', 'Short stories, Indonesian.']"
990028006690106381,['map: Austronesian (other)'],ind,Indonesian,"['Short stories, Toba-Batak.', 'Short stories, Indonesian.']"
990030031430106381,['map: Austronesian (other)'],pam,Pampanga,"['Pampanga language -- Texts.', 'Jesus Christ -- Biography']"
990029572540106381,['map: Austronesian (other)'],,,['Sulu language -- Conversation and phrase books.']
990029130230106381,['map: Austronesian (other)'],ceb,Cebuano,['Cebuano literature.']
990029333470106381,['map: Austronesian (other)'],hil,Hiligaynon,"['Corridos', 'Hiligaynon literature']"
990029720780106381,['map: Austronesian (other)'],,,['Maranao language -- Texts.']
990028946040106381,['map: Austronesian (other)'],,,"['Palawan (Philippines) -- History.', 'Catholic Church -- Prayer-books and devotions']"
990029150990106381,['map: Austronesian (other)'],war,Waray,"['Devotional literature, Waray', 'Sacred Heart, Devotion to']"
990029150960106381,['map: Austronesian (other)'],,,"['Novenas.', 'Sacred Heart, Devotion to', 'Catholic Church -- Prayer-books and devotions']"
990029150970106381,['map: Austronesian (other)'],,,"['Novenas.', 'Sacred Heart, Devotion to', 'Catholic Church -- Prayer-books and devotions']"
990029150950106381,['map: Austronesian (other)'],,,"['Novenas.', 'Jesus Christ -- Family.', 'Catholic Church -- Prayer-books and devotions']"
990029150940106381,['map: Austronesian (other)'],,,"['Novenas.', 'Mary, -- Blessed Virgin, Saint -- Prayer-books and devotions', 'Catholic Church -- Prayer-books and devotions']"
990002042790106381,['map: Austronesian (other)'],pam,Pampanga,"['Pampanga language -- Dictionaries', 'Spanish language -- Dictionaries', 'Tagalog language -- Dictionaries', 'English language -- Dictionaries']"
990002042790106381,['map: Austronesian (other)'],tgl,Tagalog,"['Pampanga language -- Dictionaries', 'Spanish language -- Dictionaries', 'Tagalog language -- Dictionaries', 'English language -- Dictionaries']"
990029048240106381,['map: Austronesian (other)'],pam,Pampanga,"['Pampanga language -- Dictionaries', 'Spanish language -- Dictionaries', 'Tagalog language -- Dictionaries and glossaries', 'English language -- Dictionaries and glossaries']"
990029048240106381,['map: Austronesian (other)'],tgl,Tagalog,"['Pampanga language -- Dictionaries', 'Spanish language -- Dictionaries', 'Tagalog language -- Dictionaries and glossaries', 'English language -- Dictionaries and glossaries']"
990028007020106381,['map: Austronesian (other)'],btk,Batak,"['Bible stories, Toba-Batak.']"
990029093410106381,['map: Austronesian (other)'],hil,Hiligaynon,"['Bisayan languages -- Texts', 'Hiligaynon language -- Texts', 'Bible -- Criticism, interpretation, etc -- Phillippines']"
990029571820106381,['map: Austronesian (other)'],pam,Pampanga,"['Microfilm no. 4', 'Continued from : GLMR 30035(5)', 'In Pampanga language.', 'Library wanting : pp 1-145.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.']"
990038606800106381,['map: Austronesian (other)'],tgl,Tagalog,"['Corridos -- Philippines.', 'Tagalog literature.']"
990018170950106381,['map: Austronesian (other)'],,,['Philippines -- Periodicals.']
990029358220106381,['map: Austronesian (other)'],hil,Hiligaynon,"['Hiligaynon literature -- Texts.', 'Bible.: -- N.T.']"
